,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,STEIN,BAYESIAN,LIKELIHOOD_STD,BW,N_MODELS,OPTIMIZER,LR,BATCH_SIZE,EARLY_STOPPING,STRIDE,WEIGHTING,MAKE_GIF,TITLE,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,EXTRA_STD,SHOW_DIAGNOSTICS,SHOW_PLOT,tuning_count,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,train_acc,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_coverage,METRIC_median_avg_inverval_score,METRIC_uncertainty_vs_accuracy_slope_quantile,METRIC_uncertainty_vs_accuracy_cor_quantile,METRIC_extrapolation_uncertainty_vs_proximity_slope_quantile,METRIC_uncertainty_vs_proximity_cor_quantile,METRIC_interpolation_uncertainty_vs_proximity_slope_quantile,METRIC_extrapolation_uncertainty_spread_quantile,METRIC_interpolation_uncertainty_spread_quantile,filename,STATE_DICT_PATH
35,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,True,True,0.001,0.06263304501771927,30,Adam,0.001,64,True,15,NAIVE,False,title of my gif,50,24,48,6,True,True,False,False,11,30000.0,6499,30000,1114.4237756729126,,,,3139.55048828125,0.01940695196390152,0.019113190472126007,0.0144315455108881,0.014177701435983181,0.05048573017120361,0.05052664875984192,0.008525065146386623,0.2666666805744171,0.020259186625480652,0.539892924098715,0.34276943953393096,0.2527207407428958,0.9340639335103668,0.07438345437741545,0.14342236518859863,0.03168172761797905,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_03-22-11 (4).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_03-22-11 (4).pth
36,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,True,True,0.001,0.06263304501771927,30,Adam,0.001,64,True,15,NAIVE,False,title of my gif,50,24,48,6,True,True,False,False,11,10000.0,6499,10000,371.7062814235687,,,,3305.837939453125,0.018738368526101112,0.018765099346637726,0.014090409502387047,0.014073160476982594,0.05080360174179077,0.05051141977310181,0.00936176534742117,0.2666666805744171,0.02181188389658928,-0.11603269862392425,-0.032245802593308524,0.17469119741128603,0.9779434529421605,0.07985289828315824,0.1126444935798645,0.03281892091035843,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_03-22-11.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_03-22-11.pth
37,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,True,True,0.01,0.5010643601417542,30,Adam,0.0005,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,12,20000.0,19749,20000,1574.889065027237,,,,-41598492.266666666,0.0271951574832201,0.027200916782021523,0.018223589286208153,0.01840204931795597,0.11153775453567505,0.1102215051651001,0.008754687383770943,0.5666667222976685,0.03677090257406235,0.023597723959832336,0.023909390154288866,0.10192996841991793,-0.018143130324487666,-0.0004274710259903764,0.09715336561203003,0.018256738781929016,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_03-40-49 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_03-40-49 (1).pth
38,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,True,True,0.01,0.5010643601417542,30,Adam,0.0005,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,12,30000.0,29749,30000,2362.444224357605,,,,-41598568.266666666,0.02652420476078987,0.026990536600351334,0.017439918592572212,0.01789313182234764,0.10835570096969604,0.10952259600162506,0.00695954030379653,0.6000000238418579,0.03848227858543396,-0.27908560544523603,-0.2617091074275009,0.007290675959690436,-0.023689090553990117,-0.0005159055186682545,0.018413886427879333,0.013597037643194199,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_03-40-49 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_03-40-49 (2).pth
39,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,True,True,0.01,0.5010643601417542,30,Adam,0.0005,64,True,15,STANDARD,False,title of my gif,50,24,48,6,True,True,False,False,12,10000.0,6799,10000,787.568234205246,,,,-41598390.666666664,0.02674303762614727,0.027073197066783905,0.0185871385037899,0.018808942288160324,0.10453657805919647,0.10648491978645325,0.00909391324967146,0.6000000238418579,0.03868281841278076,-0.12768703997089376,-0.10972506524399778,0.06765888624072734,0.0598881045066406,0.0012907492169805716,0.04658779501914978,0.01510223001241684,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_03-40-49.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_03-40-49.pth
40,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,True,True,0.0001,0.5010643601417542,30,Adam,0.001,64,True,15,NAIVE,False,title of my gif,50,24,48,6,True,True,False,False,13,20000.0,5299,20000,742.749477148056,,,,338800.42083333334,0.01939351111650467,0.019026808440685272,0.014476600103080273,0.014069349505007267,0.05088314414024353,0.050939589738845825,0.00806301087141037,0.20000001788139343,0.019233757629990578,0.9552992212833311,0.18348314699488416,0.31071184364817933,0.9143436518859508,0.06323541182977843,0.19153955578804016,0.025813285261392593,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_04-20-15 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_04-20-15 (1).pth
41,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,True,True,0.0001,0.5010643601417542,30,Adam,0.001,64,True,15,NAIVE,False,title of my gif,50,24,48,6,True,True,False,False,13,30000.0,5299,30000,1109.1588578224182,,,,329534.61041666666,0.019380593672394753,0.019196368753910065,0.014507238753139973,0.014280018396675587,0.0505964457988739,0.05050104856491089,0.007630201522260904,0.2666666805744171,0.022393425926566124,0.2034783967024832,0.0915499201201652,0.3551973454070369,0.892217182810344,0.07418298065491949,0.22697997093200684,0.029557179659605026,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_04-20-15 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_04-20-15 (2).pth
42,cuda,float,2024,univar_missing_middle_normalized_12,univar_NN.univar_NN_30_30,True,True,0.0001,0.5010643601417542,30,Adam,0.001,64,True,15,NAIVE,False,title of my gif,50,24,48,6,True,True,False,False,13,10000.0,5299,10000,372.32993602752686,,,,348611.79583333334,0.019149506464600563,0.019064979627728462,0.014240303076803684,0.014201740734279156,0.05150729417800903,0.05122968554496765,0.009163727052509785,0.20000001788139343,0.02157312072813511,0.3438111565294277,0.06199666753467333,0.24329789635346824,0.8468112276635184,0.045608222458048193,0.15701815485954285,0.021135419607162476,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_04-20-15.json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_04-20-15.pth
43,cuda,float,2027,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,True,True,0.1,0.06263304501771927,30,Adam,0.001,64,True,15,NAIVE,False,title of my gif,50,24,48,6,True,True,False,False,14,20000.0,19749,20000,1573.3661127090454,,,,-96.39557240804037,0.02676231600344181,0.024850687012076378,0.020142454653978348,0.02041969634592533,0.066224604845047,0.054640114307403564,0.02372632920742035,1.0,0.33322951197624207,0.921138866682663,0.04543923559542951,0.022777465818080222,-0.012743469978425176,-0.0028980770388521288,0.1375071406364441,0.1823214590549469,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_04-38-48 (1).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_04-38-48 (1).pth
44,cuda,float,2027,univar_missing_middle_normalized_12,univar_NN.univar_NN_500_500_500_500,True,True,0.1,0.06263304501771927,30,Adam,0.001,64,True,15,NAIVE,False,title of my gif,50,24,48,6,True,True,False,False,14,30000.0,26699,30000,2359.4945828914642,,,,-96.40865478515624,0.02446756511926651,0.02463199943304062,0.021180735900998116,0.020299414172768593,0.04916644096374512,0.054518312215805054,0.024972226470708847,1.0,0.35166066884994507,9.202984910467817,0.2388076092129054,0.051669277237871354,0.03190766311944691,0.006775593399288291,0.1558220386505127,0.12947922945022583,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\2025-05-16_04-38-48 (2).json,c:\users\thoma\appdata\local\programs\python\python310\multiverse\functional_bnns\bnns\experiments\paper\univar\ensemble\Bayesian\Stein\hyperparameter_search\experimental_models\2025-05-16_04-38-48 (2).pth
