,DEVICE,DTYPE,SEED,DATA,ARCHITECTURE,MODEL,VARIATIONAL_FAMILY,GAUSSIAN_APPROXIMATION,APPPROXIMATE_GAUSSIAN_MEAN,FUNCTIONAL,MEASUREMENT_SET_SAMPLER,N_MEAS,EXACT_WEIGHT_KL,PROJECTION_METHOD,PRIOR_J,POST_J,PRIOR_ETA,POST_ETA,PRIOR_M,POST_M,POST_GP_ETA,LIKELIHOOD_STD,OPTIMIZER,LR,BATCH_SIZE,EARLY_STOPPING,STRIDE,N_MC_SAMPLES,WEIGHTING,DEFAULT_INITIALIZATION,MAKE_GIF,HOW_OFTEN,INITIAL_FRAME_REPETITIONS,FINAL_FRAME_REPETITIONS,HOW_MANY_INDIVIDUAL_PREDICTIONS,VISUALIZE_DISTRIBUTION_USING_QUANTILES,N_POSTERIOR_SAMPLES,EXTRA_STD,N_POSTERIOR_SAMPLES_EVALUATION,SHOW_DIAGNOSTICS,SHOW_PLOT,pi,sigma1,sigma2,total_iter,best_iter,epochs_completed,compute_time,patience,delta,stride,train_acc,METRIC_rmse_of_median,METRIC_rmse_of_mean,METRIC_mae_of_median,METRIC_mae_of_mean,METRIC_max_norm_of_median,METRIC_max_norm_of_mean,METRIC_median_energy_score,METRIC_coverage,METRIC_median_avg_inverval_score,METRIC_uncertainty_vs_accuracy_slope_quantile,METRIC_uncertainty_vs_accuracy_cor_quantile,METRIC_extrapolation_uncertainty_vs_proximity_slope_quantile,METRIC_uncertainty_vs_proximity_cor_quantile,METRIC_interpolation_uncertainty_vs_proximity_slope_quantile,METRIC_extrapolation_uncertainty_spread_quantile,METRIC_interpolation_uncertainty_spread_quantile,METRIC_uncertainty_vs_accuracy_slope_pm2_std,METRIC_uncertainty_vs_accuracy_cor_pm2_std,METRIC_extrapolation_uncertainty_vs_proximity_slope_pm2_std,METRIC_uncertainty_vs_proximity_cor_pm2_std,METRIC_interpolation_uncertainty_vs_proximity_slope_pm2_std,METRIC_extrapolation_uncertainty_spread_pm2_std,METRIC_interpolation_uncertainty_spread_pm2_std,filename,STATE_DICT_PATH,prior_type,scale
368,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,True,random_points_only,200,False,torchbnn,500,50,0.001,0.1,500,50,,0.01,Adam,0.0001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,6499.0,2049,6498,315.21845269203186,50.0,-0.1,15.0,3146.296394856771,0.06528866291046143,0.05869089812040329,0.05067890137434006,0.04232602193951607,0.21653687953948975,0.20861323177814484,0.027322988957166672,1.0,0.34865182638168335,0.31048305732690923,0.23946162819418773,0.13275899506933406,-0.8398929818377769,-0.16570452284899959,0.09629222750663757,0.08124101161956787,0.22629553930212398,0.1639628291255255,0.09572684662963475,-0.7575899434940517,-0.11085875885183182,0.0801573097705841,0.06701870262622833,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-09-10 (2).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-09-10 (2).pth,Tom,1.0
369,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,True,random_points_only,200,False,torchbnn,500,50,0.001,0.1,500,50,,0.01,Adam,0.0001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,6899.0,2049,6898,333.7842950820923,50.0,0.1,15.0,2398.451534016927,0.06800196319818497,0.062386833131313324,0.05786841735243797,0.05030747130513191,0.1963847577571869,0.1923178881406784,0.028064128011465073,1.0,0.2770792841911316,0.9063363008540972,0.5027742236202085,0.1427485297292263,-0.7651478839621608,-0.13410009601065,0.09834228456020355,0.08585316687822342,0.9569754302476341,0.5195541553474481,0.10270803270776722,-0.7304693154366899,-0.09858345701495244,0.08994220942258835,0.0637785941362381,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-09-10 (3).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-09-10 (3).pth,Tom,1.0
370,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,True,random_points_only,200,False,torchbnn,500,50,0.001,0.1,500,50,,0.01,Adam,0.0001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,1249.0,399,1248,60.560012102127075,25.0,-0.1,15.0,14396.615348307292,0.06988832354545593,0.06488823890686035,0.0549805648624897,0.04808361083269119,0.23111838102340698,0.2205919623374939,0.045816175639629364,1.0,0.7156774401664734,0.16868489818422147,0.12354845336528059,0.105483370509947,-0.5738496254675287,-0.08600390242287809,0.061745017766952515,0.08761684596538544,0.001902106221467973,0.001300981439854294,0.09106301348259596,-0.685049364977659,-0.08115490429848791,0.0749431699514389,0.052073538303375244,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-09-10.json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-09-10.pth,Tom,1.0
371,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,False,random_points_only,200,False,torchbnn,500,50,0.001,0.1,500,50,,0.01,Adam,0.0001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,20000.0,19949,20000,433.3189947605133,,,,26491.268229166668,0.057687219232320786,0.05385267361998558,0.04205197095870972,0.03709890693426132,0.2027778923511505,0.1866508424282074,0.022938556969165802,1.0,0.24358972907066345,1.5001524167428437,0.5604812184541056,0.15779216950516312,-0.7199634462008028,-0.14181885236738223,0.14568650722503662,0.0920700877904892,1.5870209491245368,0.5160089924973982,0.09415916114706839,-0.6485219442293102,-0.08592785084413493,0.09447863698005676,0.06256601959466934,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-14-48 (1).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-14-48 (1).pth,Tom,1.0
372,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,False,random_points_only,200,False,torchbnn,500,50,0.001,0.1,500,50,,0.01,Adam,0.0001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,30000.0,29799,30000,649.8764622211456,,,,17582.563151041668,0.05976773425936699,0.056886691600084305,0.046295929700136185,0.04120862856507301,0.1816944032907486,0.16966833174228668,0.019425075501203537,0.9666666984558105,0.22277109324932098,1.304187580504983,0.4821778652083867,0.08424193273861491,-0.5249042587658143,-0.11963445521013785,0.10745637118816376,0.0987052470445633,1.3686717788191123,0.48085167741679397,0.06700485958090388,-0.5201517062027721,-0.0872755112913163,0.06420992314815521,0.07304968684911728,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-14-48 (2).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-14-48 (2).pth,Tom,1.0
373,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,False,random_points_only,200,False,torchbnn,500,50,0.001,0.1,500,50,,0.01,Adam,0.0001,600,True,15,1,standard,new,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,10000.0,9949,10000,219.98375988006592,,,,44599.5921875,0.06006234511733055,0.056686028838157654,0.046024855226278305,0.04250751808285713,0.20616662502288818,0.19477199018001556,0.027438491582870483,1.0,0.33190402388572693,0.19230716218741634,0.11927638129148406,0.12936967877843422,-0.7798785889812918,-0.1327646482410613,0.09523870050907135,0.08350928127765656,0.05975988549041325,0.03361171782427853,0.09017900809430096,-0.7362256623812609,-0.10094515463216136,0.08040197193622589,0.06249398738145828,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-14-48.json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-14-48.pth,Tom,1.0
374,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,True,random_points_only,200,False,torchbnn,100,25,0.001,0.001,1500,200,,0.001,Adam,0.0001,600,True,15,1,standard,old,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,1349.0,949,1348,67.16601419448853,25.0,0.1,15.0,46365813.295833334,0.09119924902915955,0.07463546842336655,0.07102350890636444,0.05425508692860603,0.3106222450733185,0.26598918437957764,0.2836002707481384,1.0,4.859231472015381,2.244706666538674,0.4783156949484378,0.7158158142870122,-0.35256420127391086,-0.6011444538743703,0.5639541149139404,0.6568539142608643,3.4201533743873656,0.5455123136474439,0.37252938263842594,-0.3444442221598465,-0.14490045916567984,0.3060239553451538,0.19904571771621704,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-25-42 (1).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-25-42 (1).pth,IID,1.0
375,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,True,random_points_only,200,False,torchbnn,100,25,0.001,0.001,1500,200,,0.001,Adam,0.0001,600,True,15,1,standard,old,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,2499.0,2149,2498,126.57729029655457,50.0,-0.1,15.0,38632831.5125,0.12831798195838928,0.14618150889873505,0.11193898320198059,0.10974100977182388,0.33267855644226074,0.44949567317962646,0.2701125741004944,1.0,3.5252866744995117,0.22670999658760965,0.07658351031963816,0.32214507239467566,-0.05024366066360513,-0.03612420397722262,0.2956514358520508,0.28837859630584717,-0.26883776294805095,-0.18548710595396936,0.26338211960009694,-0.5751319132277396,-0.24931545884587414,0.1790180206298828,0.20164930820465088,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-25-42 (2).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-25-42 (2).pth,IID,1.0
376,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,True,random_points_only,200,False,torchbnn,100,25,0.001,0.001,1500,200,,0.001,Adam,0.0001,600,True,15,1,standard,old,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,2599.0,2149,2598,133.9922993183136,50.0,0.1,15.0,46447959.045833334,0.12369697540998459,0.06999099999666214,0.08903487771749496,0.04431695118546486,0.41305026412010193,0.2698345482349396,0.25444525480270386,1.0,3.470550060272217,-0.2937860327307074,-0.23102414327844625,0.33325425846571494,0.022363686963149495,0.017416125620514214,0.463336706161499,0.39629459381103516,-0.4448166421083568,-0.13986513443721632,0.25921180663318055,-0.6548314008131552,-0.10334227719853142,0.2377176284790039,0.07236117124557495,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-25-42 (3).json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-25-42 (3).pth,IID,1.0
377,cuda,float,2025,univar_missing_middle_normalized_12,univar_NN.univar_NN_250_250,FullSupportLocScaleBNN,Normal,False,,True,random_points_only,200,False,torchbnn,100,25,0.001,0.001,1500,200,,0.001,Adam,0.0001,600,True,15,1,standard,old,False,50,24,48,6,True,50,False,100,False,False,0.5,0.36787944117144233,0.0009118819655545162,1299.0,949,1298,62.983405351638794,25.0,-0.1,15.0,45874006.09583333,0.07268032431602478,0.10426235944032669,0.05084182694554329,0.09597427397966385,0.19863033294677734,0.17396393418312073,0.32948070764541626,1.0,4.53128719329834,-2.178494185512679,-0.36518808566584043,0.4140293756360442,-0.24214811015008486,-0.2655094834873154,0.8260825872421265,0.5595836639404297,0.5773083268124941,0.07973469425986741,0.4152131198945747,-0.5501304434029626,-0.30656888100175733,0.4443460702896118,0.25138795375823975,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\2025-05-05_16-25-42.json,C:\Users\thoma\AppData\Local\Programs\Python\Python310\multiverse\functional_bnns\bnns\experiments\paper\univar\weight_training_vs_functional_training\hyperparameter_search\experimental_models\2025-05-05_16-25-42.pth,IID,1.0
